"vote","prtvede1","prtvede2","gndr","agea"
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",37
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",40
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",68
"No",NA,NA,"Male",43
"Yes","The Greens","The Greens","Male",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",63
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",65
"Yes","Social Democratic Party (SPD)","The Greens","Female",49
"Not eligible to vote",NA,NA,"Female",17
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",34
"No",NA,NA,"Female",86
"No",NA,NA,"Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",37
"Yes",NA,NA,"Male",57
"Yes","Christian Democratic Union (CDU/CSU)","Other","Female",81
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",63
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",25
"Yes","The Greens","The Greens","Male",22
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",21
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",51
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",79
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",46
"Yes","The Greens","The Greens","Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",32
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Yes","Other","Other","Male",34
"Yes","The Left (Die Linke)","Pirate Party (Piratenpartei)","Male",23
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",68
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes","The Greens","The Greens","Male",38
"Yes","The Greens","The Greens","Male",48
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",75
"Yes",NA,NA,"Male",67
"Yes",NA,"The Greens","Female",24
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","The Greens","The Greens","Female",43
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",56
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",34
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",31
"Yes","Social Democratic Party (SPD)","Other","Female",20
"Yes",NA,NA,"Male",76
"Yes","Other","Social Democratic Party (SPD)","Female",69
"No",NA,NA,"Female",21
"Yes",NA,NA,"Female",67
"Not eligible to vote",NA,NA,"Male",34
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",43
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",40
"Yes","The Greens","Free Democratic Party (FDP)","Male",63
"Yes","Free Democratic Party (FDP)",NA,"Male",28
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",27
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",82
"No",NA,NA,"Male",50
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",62
"Yes","Social Democratic Party (SPD)","The Greens","Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Other","Free Democratic Party (FDP)","Female",53
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",71
"Not eligible to vote",NA,NA,"Female",21
"Yes",NA,NA,"Female",39
"Yes","Social Democratic Party (SPD)","The Greens","Female",47
"Not eligible to vote",NA,NA,"Male",22
"Yes","The Greens",NA,"Female",78
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Not eligible to vote",NA,NA,"Male",17
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",77
"No",NA,NA,"Female",17
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",35
"Yes",NA,NA,"Female",47
"No",NA,NA,"Male",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"No",NA,NA,"Female",44
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes","Alternative for Germany (AFD)",NA,"Female",53
"No",NA,NA,"Male",54
"Yes","The Greens","The Greens","Female",43
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"Yes","The Greens","The Greens","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Female",77
"No",NA,NA,"Female",22
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",37
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"Yes",NA,NA,"Female",48
"Not eligible to vote",NA,NA,"Female",16
"No",NA,NA,"Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",78
"Yes","The Greens","The Greens","Female",49
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",46
"Yes",NA,NA,"Female",34
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Male",60
"Yes","Social Democratic Party (SPD)","The Greens","Male",78
"No",NA,NA,"Male",80
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",52
"No",NA,NA,"Female",79
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",59
"No",NA,NA,"Male",49
"Yes",NA,NA,"Female",56
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",32
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",31
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",59
"No",NA,NA,"Female",40
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",49
"Yes",NA,NA,"Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",41
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",81
"Yes","The Greens","The Greens","Male",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",55
"Yes",NA,NA,"Female",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",81
"Yes","The Greens","The Greens","Female",19
"Yes","The Greens","The Greens","Female",38
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",42
"Not eligible to vote",NA,NA,"Male",15
"Not eligible to vote",NA,NA,"Female",69
"Yes","Christian Democratic Union (CDU/CSU)","The Left (Die Linke)","Male",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",78
"Yes","The Left (Die Linke)","Alternative for Germany (AFD)","Male",22
"Yes",NA,"Alternative for Germany (AFD)","Male",78
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",29
"Yes",NA,NA,"Female",68
"Yes",NA,"Social Democratic Party (SPD)","Male",79
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",78
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",68
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",37
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes",NA,NA,"Male",41
"No",NA,NA,"Male",61
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",61
"Yes","The Greens","The Greens","Male",53
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",57
"Not eligible to vote",NA,NA,"Male",17
"Yes","The Greens","The Greens","Male",63
"Yes",NA,"Alternative for Germany (AFD)","Male",45
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",69
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",68
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",50
"Yes","Other","Other","Female",58
"No",NA,NA,"Female",29
"Not eligible to vote",NA,NA,"Male",18
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",63
"Yes",NA,"Alternative for Germany (AFD)","Female",36
"Yes","The Greens","Free Democratic Party (FDP)","Female",55
"Not eligible to vote",NA,NA,"Male",28
"Yes","The Greens",NA,"Female",19
"Yes",NA,NA,"Female",48
"No",NA,NA,"Female",69
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",76
"Yes",NA,NA,"Female",65
"Not eligible to vote",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",56
"Not eligible to vote",NA,NA,"Male",16
"No",NA,NA,"Female",43
"No",NA,NA,"Male",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",80
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",36
"Yes","Social Democratic Party (SPD)",NA,"Male",58
"Yes","The Greens","The Greens","Female",43
"No",NA,NA,"Female",33
"No",NA,NA,"Male",65
"Not eligible to vote",NA,NA,"Male",17
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",57
"Yes",NA,NA,"Male",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",40
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"No",NA,NA,"Male",30
"Yes",NA,NA,"Male",38
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes","Other","Other","Female",39
"No",NA,NA,"Male",26
"No",NA,NA,"Male",55
"Yes",NA,NA,"Male",46
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",29
"Yes",NA,NA,"Female",77
"Yes","The Left (Die Linke)","The Greens","Male",23
"Yes",NA,"Social Democratic Party (SPD)","Female",61
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",42
"Not eligible to vote",NA,NA,"Male",16
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",58
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",25
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes",NA,NA,"Male",27
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",32
"Yes","The Left (Die Linke)","Other","Male",26
"No",NA,NA,"Female",49
"Yes",NA,NA,"Female",66
"Not eligible to vote",NA,NA,"Male",39
"No",NA,NA,"Male",55
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",68
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",54
"Yes",NA,"The Left (Die Linke)","Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes",NA,NA,"Male",67
"No",NA,NA,"Female",88
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",25
"Yes",NA,NA,"Female",83
"No",NA,NA,"Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",58
"Yes","Other","The Greens","Female",37
"Yes","The Greens","The Greens","Male",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",29
"No",NA,NA,"Male",21
"Not eligible to vote",NA,NA,"Female",18
"Yes","Other","Other","Female",32
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",31
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Male",26
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,NA,"Male",34
"Not eligible to vote",NA,NA,"Male",25
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",68
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",73
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",34
"Yes",NA,NA,"Female",34
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",47
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes",NA,NA,"Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Not eligible to vote",NA,NA,"Female",34
"Yes","Social Democratic Party (SPD)","The Greens","Female",90
"Yes",NA,"The Greens","Female",44
"Yes","The Left (Die Linke)","The Greens","Male",37
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",80
"Yes",NA,NA,"Female",58
"Yes","The Greens","The Greens","Female",51
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",23
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",46
"Not eligible to vote",NA,NA,"Female",16
"Yes",NA,NA,"Male",29
"Yes","The Greens","The Greens","Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",72
"Not eligible to vote",NA,NA,"Male",30
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",71
"Yes",NA,"The Greens","Female",25
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",63
"Not eligible to vote",NA,NA,"Male",39
"Yes","Social Democratic Party (SPD)","The Greens","Male",48
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Male",24
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",62
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",64
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Female",68
"No",NA,NA,"Male",19
"Not eligible to vote",NA,NA,"Male",25
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",48
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",27
"Yes","The Left (Die Linke)","Other","Male",31
"No",NA,NA,"Male",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",62
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",28
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",83
"Not eligible to vote",NA,NA,"Female",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",24
"No",NA,NA,"Female",35
"Yes","The Greens","The Greens","Female",33
"Yes",NA,NA,"Female",41
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",60
"Yes","The Greens","The Greens","Female",33
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",53
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","Social Democratic Party (SPD)","Free Democratic Party (FDP)","Male",44
"Yes",NA,NA,"Male",45
"Yes",NA,"The Greens","Female",21
"Not eligible to vote",NA,NA,"Male",18
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",60
"No",NA,NA,"Female",32
"Yes","The Greens","The Greens","Female",51
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",30
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",51
"Not eligible to vote",NA,NA,"Female",15
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",61
"No",NA,NA,"Female",21
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",57
"Yes",NA,NA,"Female",58
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",39
"Yes","The Greens","The Greens","Male",35
"Yes","Other","The Left (Die Linke)","Female",58
"Yes","Social Democratic Party (SPD)","The Greens","Male",53
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",55
"Yes","The Greens","The Greens","Male",22
"Yes","Social Democratic Party (SPD)",NA,"Male",25
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",74
"Not eligible to vote",NA,NA,"Female",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",79
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",58
"Not eligible to vote",NA,NA,"Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",22
"No",NA,NA,"Female",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",50
"Yes","Social Democratic Party (SPD)","The Greens","Male",28
"Yes","Free Democratic Party (FDP)",NA,"Female",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",37
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",67
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",84
"Not eligible to vote",NA,NA,"Male",17
"Yes",NA,"The Greens","Male",34
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",36
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"Yes","The Greens","The Greens","Male",40
"Yes","The Greens","The Greens","Male",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",41
"No",NA,NA,"Female",52
"Not eligible to vote",NA,NA,"Female",60
"Yes",NA,NA,"Male",41
"Yes","Social Democratic Party (SPD)","The Greens","Female",54
"Yes","Social Democratic Party (SPD)","The Greens","Female",88
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",27
"Yes",NA,NA,"Male",55
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",76
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",76
"Not eligible to vote",NA,NA,"Male",22
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",58
"Yes","The Greens","The Greens","Male",55
"No",NA,NA,"Female",38
"No",NA,NA,"Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",55
"No",NA,NA,"Male",23
"Yes",NA,NA,"Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",25
"Not eligible to vote",NA,NA,"Male",26
"No",NA,NA,"Female",22
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",44
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",80
"Yes",NA,NA,"Female",64
"Yes","The Greens","The Greens","Male",43
"No",NA,NA,"Male",22
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",61
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",67
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",41
"Yes",NA,NA,"Female",29
"No",NA,NA,"Male",29
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",33
"Yes",NA,NA,"Male",44
"Not eligible to vote",NA,NA,"Male",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",72
"No",NA,NA,"Male",81
"Yes","Social Democratic Party (SPD)","The Greens","Male",43
"Yes","Alternative for Germany (AFD)","Social Democratic Party (SPD)","Female",77
"Yes","The Left (Die Linke)",NA,"Male",52
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",61
"Yes",NA,"Free Democratic Party (FDP)","Male",27
"Yes",NA,NA,"Female",45
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",32
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",42
"No",NA,NA,"Male",53
"Not eligible to vote",NA,NA,"Female",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",77
"No",NA,NA,"Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",75
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",35
"No",NA,NA,"Male",46
"No",NA,NA,"Female",67
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",29
"No",NA,NA,"Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",52
"Yes","The Left (Die Linke)","Social Democratic Party (SPD)","Female",54
"No",NA,NA,"Male",28
"Yes","Free Democratic Party (FDP)","The Left (Die Linke)","Female",48
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",50
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",39
"Not eligible to vote",NA,NA,"Female",17
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",50
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes",NA,NA,"Female",31
"Not eligible to vote",NA,NA,"Female",40
"Yes","The Greens","Social Democratic Party (SPD)","Male",71
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"Yes","Other","Social Democratic Party (SPD)","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Other","Female",41
"Yes","Other","Other","Female",48
"Yes","The Greens","Social Democratic Party (SPD)","Male",57
"Not eligible to vote",NA,NA,"Male",19
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Female",50
"No",NA,NA,"Male",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",45
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",45
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",72
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",65
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",42
"Not eligible to vote",NA,NA,"Male",17
"Yes",NA,NA,"Female",38
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",69
"Yes","The Greens","Social Democratic Party (SPD)","Female",26
"Yes","The Greens","The Greens","Female",49
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",24
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes","Alternative for Germany (AFD)",NA,"Female",43
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",45
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",74
"No",NA,NA,"Female",32
"Yes","National Democratic Party (NPD)","National Democratic Party (NPD)","Female",68
"Yes",NA,NA,"Female",52
"No",NA,NA,"Male",83
"No",NA,NA,"Male",79
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",86
"No",NA,NA,"Male",NA
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",52
"Not eligible to vote",NA,NA,"Male",41
"Yes","Other","Other","Female",43
"Yes",NA,NA,"Male",52
"No",NA,NA,"Female",75
"Yes","The Greens","The Left (Die Linke)","Male",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",90
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",83
"No",NA,NA,"Female",59
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",35
"Yes",NA,NA,"Female",67
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"No",NA,NA,"Male",22
"Yes","Social Democratic Party (SPD)",NA,"Female",60
"Yes",NA,"Alternative for Germany (AFD)","Female",31
"Yes","The Greens","The Greens","Female",68
"Not eligible to vote",NA,NA,"Male",63
"Yes",NA,"The Left (Die Linke)","Female",77
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",28
"Yes",NA,"The Greens","Male",59
