Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
1962,Manitoba,PROVENCHER,Reform Party of Canada,1246,3.64
1962,Manitoba,PROVENCHER,Confederation of Regions Western Party,357,1.04
1962,Manitoba,SELKIRK,Progressive Conservative,17813,38.15
1962,Manitoba,SELKIRK,New Democratic Party,13899,29.77
1962,Manitoba,SELKIRK,Liberal,12451,26.67
1962,Manitoba,SELKIRK,Christian Heritage Party of Canada,1172,2.51
1962,Manitoba,SELKIRK,Reform Party of Canada,595,1.27
1962,Manitoba,SELKIRK,Confederation of Regions Western Party,364,0.78
1962,Manitoba,SELKIRK,Parti Rhinocéros,335,0.72
1962,Manitoba,SELKIRK,No affiliation to a recognised party,58,0.12
1962,Manitoba,ST. BONIFACE,Liberal,24117,51.52
1962,Manitoba,ST. BONIFACE,Progressive Conservative,15747,33.64
1962,Manitoba,ST. BONIFACE,New Democratic Party,5012,10.71
1962,Manitoba,ST. BONIFACE,Reform Party of Canada,1281,2.74
1962,Manitoba,ST. BONIFACE,Libertarian Party of Canada,425,0.91
1962,Manitoba,ST. BONIFACE,Independent,190,0.41
1962,Manitoba,ST. BONIFACE,No affiliation to a recognised party,43,0.09
1962,Manitoba,WINNIPEG NORTH,Liberal,16375,38.3
1962,Manitoba,WINNIPEG NORTH,New Democratic Party,14612,34.18
1962,Manitoba,WINNIPEG NORTH,Progressive Conservative,10527,24.62
1962,Manitoba,WINNIPEG NORTH,Reform Party of Canada,793,1.85
1962,Manitoba,WINNIPEG NORTH,Independent,214,0.5
1962,Manitoba,WINNIPEG NORTH,Communist Party of Canada,150,0.35
1962,Manitoba,WINNIPEG NORTH,No affiliation to a recognised party,79,0.18
1962,Manitoba,WINNIPEG NORTH CENTRE,Liberal,12104,41.22
1962,Manitoba,WINNIPEG NORTH CENTRE,New Democratic Party,10580,36.03
1962,Manitoba,WINNIPEG NORTH CENTRE,Progressive Conservative,5334,18.17
1962,Manitoba,WINNIPEG NORTH CENTRE,Reform Party of Canada,417,1.42
1962,Manitoba,WINNIPEG NORTH CENTRE,Libertarian Party of Canada,409,1.39
1962,Manitoba,WINNIPEG NORTH CENTRE,Independent,242,0.82
1962,Manitoba,WINNIPEG NORTH CENTRE,Communist Party of Canada,179,0.61
1962,Manitoba,WINNIPEG NORTH CENTRE,No affiliation to a recognised party,97,0.33
1962,Manitoba,WINNIPEG SOUTH,Progressive Conservative,22865,45.95
1962,Manitoba,WINNIPEG SOUTH,Liberal,22150,44.51
1962,Manitoba,WINNIPEG SOUTH,New Democratic Party,3151,6.33
1962,Manitoba,WINNIPEG SOUTH,Reform Party of Canada,1428,2.87
1962,Manitoba,WINNIPEG SOUTH,Libertarian Party of Canada,168,0.34
1962,Manitoba,WINNIPEG SOUTH CENTRE,Liberal,26191,58.42
1962,Manitoba,WINNIPEG SOUTH CENTRE,Progressive Conservative,12960,28.91
1962,Manitoba,WINNIPEG SOUTH CENTRE,New Democratic Party,4637,10.34
1962,Manitoba,WINNIPEG SOUTH CENTRE,Reform Party of Canada,777,1.73
1962,Manitoba,WINNIPEG SOUTH CENTRE,Libertarian Party of Canada,154,0.34
1962,Manitoba,WINNIPEG SOUTH CENTRE,No affiliation to a recognised party,111,0.25
1962,Manitoba,WINNIPEG TRANSCONA,New Democratic Party,17361,41.13
1962,Manitoba,WINNIPEG TRANSCONA,Liberal,13460,31.88
1962,Manitoba,WINNIPEG TRANSCONA,Progressive Conservative,10815,25.62
1962,Manitoba,WINNIPEG TRANSCONA,Independent,308,0.73
1962,Manitoba,WINNIPEG TRANSCONA,Independent,156,0.37
1962,Manitoba,WINNIPEG TRANSCONA,No affiliation to a recognised party,115,0.27
1962,Manitoba,WINNIPEG--ST. JAMES,Liberal,18695,44.84
1962,Manitoba,WINNIPEG--ST. JAMES,Progressive Conservative,16993,40.76
1962,Manitoba,WINNIPEG--ST. JAMES,New Democratic Party,4258,10.21
1962,Manitoba,WINNIPEG--ST. JAMES,Reform Party of Canada,1549,3.72
1962,Manitoba,WINNIPEG--ST. JAMES,No affiliation to a recognised party,106,0.25
1962,Manitoba,WINNIPEG--ST. JAMES,Communist Party of Canada,92,0.22
1962,New Brunswick,BEAUSÉJOUR,Liberal,22650,58.61
1962,New Brunswick,BEAUSÉJOUR,Progressive Conservative,10525,27.24
1962,New Brunswick,BEAUSÉJOUR,New Democratic Party,3958,10.24
1962,New Brunswick,BEAUSÉJOUR,Confederation of Regions Western Party,1511,3.91
1962,New Brunswick,CARLETON--CHARLOTTE,Progressive Conservative,16026,47.25
1962,New Brunswick,CARLETON--CHARLOTTE,Liberal,14116,41.61
1962,New Brunswick,CARLETON--CHARLOTTE,New Democratic Party,2596,7.65
1962,New Brunswick,CARLETON--CHARLOTTE,Confederation of Regions Western Party,1183,3.49
1962,New Brunswick,FREDERICTON,Progressive Conservative,20494,42.98
1962,New Brunswick,FREDERICTON,Liberal,18939,39.72
1962,New Brunswick,FREDERICTON,New Democratic Party,4922,10.32
1962,New Brunswick,FREDERICTON,Confederation of Regions Western Party,2755,5.78
1962,New Brunswick,FREDERICTON,Parti Rhinocéros,316,0.66
1962,New Brunswick,FREDERICTON,Independent,253,0.53
1962,New Brunswick,FUNDY--ROYAL,Progressive Conservative,21129,46.7
1962,New Brunswick,FUNDY--ROYAL,Liberal,16411,36.27
1962,New Brunswick,FUNDY--ROYAL,New Democratic Party,4965,10.97
1962,New Brunswick,FUNDY--ROYAL,Confederation of Regions Western Party,2742,6.06
1962,New Brunswick,GLOUCESTER,Liberal,20251,51.75
1962,New Brunswick,GLOUCESTER,Progressive Conservative,16721,42.73
1962,New Brunswick,GLOUCESTER,New Democratic Party,2163,5.53
1962,New Brunswick,MADAWASKA--VICTORIA,Progressive Conservative,14747,48.24
1962,New Brunswick,MADAWASKA--VICTORIA,Liberal,13385,43.78
1962,New Brunswick,MADAWASKA--VICTORIA,New Democratic Party,2441,7.98
1962,New Brunswick,MIRAMICHI,Liberal,14073,50.81
1962,New Brunswick,MIRAMICHI,Progressive Conservative,8983,32.43
1962,New Brunswick,MIRAMICHI,Confederation of Regions Western Party,2954,10.67
1962,New Brunswick,MIRAMICHI,New Democratic Party,1686,6.09
1962,New Brunswick,MONCTON,Liberal,23823,46.91
1962,New Brunswick,MONCTON,Progressive Conservative,17267,34
1962,New Brunswick,MONCTON,New Democratic Party,4904,9.66
1962,New Brunswick,MONCTON,Confederation of Regions Western Party,3703,7.29
1962,New Brunswick,MONCTON,Christian Heritage Party of Canada,909,1.79
1962,New Brunswick,MONCTON,No affiliation to a recognised party,175,0.34
1962,New Brunswick,RESTIGOUCHE,Liberal,15252,49.38
1962,New Brunswick,RESTIGOUCHE,Progressive Conservative,12366,40.03
1962,New Brunswick,RESTIGOUCHE,New Democratic Party,3272,10.59
1962,New Brunswick,SAINT JOHN,Progressive Conservative,16798,43.07
1962,New Brunswick,SAINT JOHN,Liberal,15067,38.63
1962,New Brunswick,SAINT JOHN,New Democratic Party,4883,12.52
1962,New Brunswick,SAINT JOHN,Confederation of Regions Western Party,1806,4.63
1962,New Brunswick,SAINT JOHN,Libertarian Party of Canada,289,0.74
1962,New Brunswick,SAINT JOHN,Independent,162,0.42
1962,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Liberal,21290,51.34
1962,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,Progressive Conservative,17809,42.94
1962,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,New Democratic Party,2372,5.72
1962,Newfoundland and Labrador,BURIN--ST. GEORGE'S,Liberal,18527,48.36
1962,Newfoundland and Labrador,BURIN--ST. GEORGE'S,Progressive Conservative,17488,45.64
1962,Newfoundland and Labrador,BURIN--ST. GEORGE'S,New Democratic Party,2299,6
1962,Newfoundland and Labrador,GANDER--GRAND FALLS,Liberal,20314,55.79
1962,Newfoundland and Labrador,GANDER--GRAND FALLS,Progressive Conservative,11478,31.52
1962,Newfoundland and Labrador,GANDER--GRAND FALLS,New Democratic Party,4618,12.68
1962,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Liberal,26259,67.03
1962,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Progressive Conservative,11477,29.3
1962,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,New Democratic Party,1441,3.68
1962,Newfoundland and Labrador,LABRADOR,Liberal,7126,53.5
1962,Newfoundland and Labrador,LABRADOR,Progressive Conservative,4400,33.03
1962,Newfoundland and Labrador,LABRADOR,New Democratic Party,1508,11.32
1962,Newfoundland and Labrador,LABRADOR,Independent,286,2.15
1962,Newfoundland and Labrador,ST. JOHN'S EAST,Progressive Conservative,21503,44.13
1962,Newfoundland and Labrador,ST. JOHN'S EAST,New Democratic Party,17198,35.3
1962,Newfoundland and Labrador,ST. JOHN'S EAST,Liberal,9285,19.06
1962,Newfoundland and Labrador,ST. JOHN'S EAST,Christian Heritage Party of Canada,739,1.52
1962,Newfoundland and Labrador,ST. JOHN'S WEST,Progressive Conservative,24194,61.54
1962,Newfoundland and Labrador,ST. JOHN'S WEST,Liberal,12787,32.53
1962,Newfoundland and Labrador,ST. JOHN'S WEST,New Democratic Party,2333,5.93
1962,Northwest Territories,NUNATSIAQ,Liberal,3356,39.94
1962,Northwest Territories,NUNATSIAQ,New Democratic Party,2786,33.15
1962,Northwest Territories,NUNATSIAQ,Progressive Conservative,1928,22.94
1962,Northwest Territories,NUNATSIAQ,Independent,333,3.96
1962,Northwest Territories,WESTERN ARCTIC,Liberal,5415,42.37
1962,Northwest Territories,WESTERN ARCTIC,Progressive Conservative,3657,28.62
1962,Northwest Territories,WESTERN ARCTIC,New Democratic Party,3207,25.1
1962,Northwest Territories,WESTERN ARCTIC,Independent,331,2.59
1962,Northwest Territories,WESTERN ARCTIC,Independent,169,1.32
1962,Nova Scotia,ANNAPOLIS VALLEY--HANTS,Progressive Conservative,20763,44.17
1962,Nova Scotia,ANNAPOLIS VALLEY--HANTS,Liberal,18840,40.08
1962,Nova Scotia,ANNAPOLIS VALLEY--HANTS,New Democratic Party,5886,12.52
1962,Nova Scotia,ANNAPOLIS VALLEY--HANTS,Christian Heritage Party of Canada,1318,2.8
1962,Nova Scotia,ANNAPOLIS VALLEY--HANTS,No affiliation to a recognised party,200,0.43
1962,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,Liberal,20318,50.91
1962,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,Progressive Conservative,17557,43.99
1962,Nova Scotia,CAPE BRETON HIGHLANDS--CANSO,New Democratic Party,2036,5.1
1962,Nova Scotia,CAPE BRETON--EAST RICHMOND,Liberal,22786,66.16
1962,Nova Scotia,CAPE BRETON--EAST RICHMOND,Progressive Conservative,7173,20.83
1962,Nova Scotia,CAPE BRETON--EAST RICHMOND,New Democratic Party,4482,13.01
1962,Nova Scotia,CAPE BRETON--THE SYDNEYS,Liberal,23931,63.26
1962,Nova Scotia,CAPE BRETON--THE SYDNEYS,Progressive Conservative,10901,28.81
1962,Nova Scotia,CAPE BRETON--THE SYDNEYS,New Democratic Party,2999,7.93
1962,Nova Scotia,CENTRAL NOVA,Progressive Conservative,19065,48.58
1962,Nova Scotia,CENTRAL NOVA,Liberal,15066,38.39
1962,Nova Scotia,CENTRAL NOVA,New Democratic Party,5110,13.02
1962,Nova Scotia,CUMBERLAND--COLCHESTER,Progressive Conservative,20384,46.19
1962,Nova Scotia,CUMBERLAND--COLCHESTER,Liberal,18340,41.56
1962,Nova Scotia,CUMBERLAND--COLCHESTER,New Democratic Party,4112,9.32
1962,Nova Scotia,CUMBERLAND--COLCHESTER,Christian Heritage Party of Canada,1088,2.47
1962,Nova Scotia,CUMBERLAND--COLCHESTER,Independent,210,0.48
1962,Nova Scotia,DARTMOUTH,Liberal,21958,46.19
1962,Nova Scotia,DARTMOUTH,Progressive Conservative,19863,41.78
1962,Nova Scotia,DARTMOUTH,New Democratic Party,5162,10.86
1962,Nova Scotia,DARTMOUTH,Libertarian Party of Canada,447,0.94
1962,Nova Scotia,DARTMOUTH,No affiliation to a recognised party,109,0.23
1962,Nova Scotia,HALIFAX,Liberal,22470,43
1962,Nova Scotia,HALIFAX,Progressive Conservative,19840,37.97
1962,Nova Scotia,HALIFAX,New Democratic Party,9269,17.74
1962,Nova Scotia,HALIFAX,Libertarian Party of Canada,292,0.56
1962,Nova Scotia,HALIFAX,Communist Party of Canada,151,0.29
1962,Nova Scotia,HALIFAX,Independent,134,0.26
1962,Nova Scotia,HALIFAX,Party for the Commonwealth of Canada,94,0.18
1962,Nova Scotia,HALIFAX WEST,Progressive Conservative,24815,44.75
1962,Nova Scotia,HALIFAX WEST,Liberal,21409,38.61
1962,Nova Scotia,HALIFAX WEST,New Democratic Party,9011,16.25
1962,Nova Scotia,HALIFAX WEST,Party for the Commonwealth of Canada,217,0.39
1962,Nova Scotia,SOUTH SHORE,Progressive Conservative,18547,46.46
1962,Nova Scotia,SOUTH SHORE,Liberal,16995,42.57
1962,Nova Scotia,SOUTH SHORE,New Democratic Party,4052,10.15
1962,Nova Scotia,SOUTH SHORE,Libertarian Party of Canada,329,0.82
1962,Nova Scotia,SOUTH WEST NOVA,Liberal,21062,50.01
1962,Nova Scotia,SOUTH WEST NOVA,Progressive Conservative,17482,41.51
1962,Nova Scotia,SOUTH WEST NOVA,New Democratic Party,2396,5.69
1962,Nova Scotia,SOUTH WEST NOVA,Christian Heritage Party of Canada,1172,2.78
1962,Ontario,ALGOMA,Liberal,16766,53.24
1962,Ontario,ALGOMA,Progressive Conservative,7383,23.45
1962,Ontario,ALGOMA,New Democratic Party,7341,23.31
1962,Ontario,BEACHES--WOODBINE,New Democratic Party,15760,35.17
1962,Ontario,BEACHES--WOODBINE,Liberal,14900,33.25
1962,Ontario,BEACHES--WOODBINE,Progressive Conservative,13107,29.25
1962,Ontario,BEACHES--WOODBINE,Libertarian Party of Canada,351,0.78
1962,Ontario,BEACHES--WOODBINE,Green Party of Canada,317,0.71
1962,Ontario,BEACHES--WOODBINE,Independent,259,0.58
1963,Ontario,BEACHES--WOODBINE,Independent,71,0.16
1963,Ontario,BEACHES--WOODBINE,Party for the Commonwealth of Canada,48,0.11
1963,Ontario,BRAMPTON,Progressive Conservative,29473,51.62
1963,Ontario,BRAMPTON,Liberal,14047,24.6
1963,Ontario,BRAMPTON,New Democratic Party,10284,18.01
1963,Ontario,BRAMPTON,Christian Heritage Party of Canada,2698,4.73
1963,Ontario,BRAMPTON,Libertarian Party of Canada,593,1.04
1963,Ontario,BRAMPTON--MALTON,Progressive Conservative,16427,41.54
1963,Ontario,BRAMPTON--MALTON,Liberal,13612,34.42
1963,Ontario,BRAMPTON--MALTON,New Democratic Party,8887,22.47
1963,Ontario,BRAMPTON--MALTON,Libertarian Party of Canada,350,0.89
1963,Ontario,BRAMPTON--MALTON,Communist Party of Canada,158,0.4
1963,Ontario,BRAMPTON--MALTON,No affiliation to a recognised party,112,0.28
1963,Ontario,BRANT,New Democratic Party,19633,41.46
1963,Ontario,BRANT,Progressive Conservative,14084,29.74
1963,Ontario,BRANT,Liberal,11461,24.2
1963,Ontario,BRANT,Christian Heritage Party of Canada,1786,3.77
1963,Ontario,BRANT,Green Party of Canada,258,0.54
1963,Ontario,BRANT,Libertarian Party of Canada,95,0.2
1963,Ontario,BRANT,Party for the Commonwealth of Canada,34,0.07
1963,Ontario,BROADVIEW--GREENWOOD,Liberal,15808,38.89
1963,Ontario,BROADVIEW--GREENWOOD,New Democratic Party,14616,35.96
1963,Ontario,BROADVIEW--GREENWOOD,Progressive Conservative,9112,22.42
1963,Ontario,BROADVIEW--GREENWOOD,Libertarian Party of Canada,431,1.06
1963,Ontario,BROADVIEW--GREENWOOD,Green Party of Canada,296,0.73
1963,Ontario,BROADVIEW--GREENWOOD,Parti Rhinocéros,243,0.6
1963,Ontario,BROADVIEW--GREENWOOD,Party for the Commonwealth of Canada,137,0.34
1963,Ontario,BRUCE--GREY,Progressive Conservative,19748,40.88
1963,Ontario,BRUCE--GREY,Liberal,18796,38.91
1963,Ontario,BRUCE--GREY,New Democratic Party,9183,19.01
1963,Ontario,BRUCE--GREY,Green Party of Canada,317,0.66
1963,Ontario,BRUCE--GREY,Party for the Commonwealth of Canada,267,0.55
1963,Ontario,BURLINGTON,Progressive Conservative,26293,52.07
1963,Ontario,BURLINGTON,Liberal,13448,26.63
1963,Ontario,BURLINGTON,New Democratic Party,8149,16.14
1963,Ontario,BURLINGTON,Christian Heritage Party of Canada,2285,4.53
1963,Ontario,BURLINGTON,Libertarian Party of Canada,321,0.64
1963,Ontario,CAMBRIDGE,Progressive Conservative,20578,40.38
1963,Ontario,CAMBRIDGE,New Democratic Party,14298,28.06
1963,Ontario,CAMBRIDGE,Liberal,13639,26.76
1963,Ontario,CAMBRIDGE,Christian Heritage Party of Canada,2305,4.52
1963,Ontario,CAMBRIDGE,Independent,141,0.28
1963,Ontario,CARLETON--GLOUCESTER,Liberal,30925,48.12
1963,Ontario,CARLETON--GLOUCESTER,Progressive Conservative,23964,37.29
1963,Ontario,CARLETON--GLOUCESTER,New Democratic Party,6217,9.67
1963,Ontario,CARLETON--GLOUCESTER,Christian Heritage Party of Canada,2728,4.24
1963,Ontario,CARLETON--GLOUCESTER,Parti Rhinocéros,435,0.68
1963,Ontario,COCHRANE--SUPERIOR,Liberal,11954,40.2
1963,Ontario,COCHRANE--SUPERIOR,New Democratic Party,10753,36.16
1963,Ontario,COCHRANE--SUPERIOR,Progressive Conservative,7032,23.65
1963,Ontario,DAVENPORT,Liberal,16436,58.91
1963,Ontario,DAVENPORT,New Democratic Party,5243,18.79
1963,Ontario,DAVENPORT,Progressive Conservative,5179,18.56
1963,Ontario,DAVENPORT,Libertarian Party of Canada,480,1.72
1963,Ontario,DAVENPORT,Parti Rhinocéros,214,0.77
1963,Ontario,DAVENPORT,Communist Party of Canada,196,0.7
1963,Ontario,DAVENPORT,No affiliation to a recognised party,150,0.54
1963,Ontario,DON VALLEY EAST,Progressive Conservative,18719,44.7
1963,Ontario,DON VALLEY EAST,Liberal,15881,37.93
1963,Ontario,DON VALLEY EAST,New Democratic Party,6310,15.07
1963,Ontario,DON VALLEY EAST,Libertarian Party of Canada,538,1.28
1963,Ontario,DON VALLEY EAST,Independent,271,0.65
1963,Ontario,DON VALLEY EAST,Communist Party of Canada,155,0.37
1963,Ontario,DON VALLEY NORTH,Progressive Conservative,17551,43.43
1963,Ontario,DON VALLEY NORTH,Liberal,16947,41.94
1963,Ontario,DON VALLEY NORTH,New Democratic Party,4777,11.82
1963,Ontario,DON VALLEY NORTH,Independent,577,1.43
1963,Ontario,DON VALLEY NORTH,Libertarian Party of Canada,560,1.39
1963,Ontario,DON VALLEY WEST,Progressive Conservative,27683,53.34
1963,Ontario,DON VALLEY WEST,Liberal,19097,36.8
1963,Ontario,DON VALLEY WEST,New Democratic Party,4307,8.3
1963,Ontario,DON VALLEY WEST,Libertarian Party of Canada,408,0.79
1963,Ontario,DON VALLEY WEST,Independent,292,0.56
1963,Ontario,DON VALLEY WEST,Communist Party of Canada,73,0.14
1963,Ontario,DON VALLEY WEST,Party for the Commonwealth of Canada,36,0.07
1963,Ontario,DURHAM,Progressive Conservative,24065,46.47
1963,Ontario,DURHAM,Liberal,15083,29.13
1963,Ontario,DURHAM,New Democratic Party,10334,19.95
1963,Ontario,DURHAM,Christian Heritage Party of Canada,1666,3.22
1963,Ontario,DURHAM,Libertarian Party of Canada,323,0.62
1963,Ontario,DURHAM,Green Party of Canada,316,0.61
1963,Ontario,EGLINTON--LAWRENCE,Liberal,20446,51.02
1963,Ontario,EGLINTON--LAWRENCE,Progressive Conservative,12400,30.94
1963,Ontario,EGLINTON--LAWRENCE,New Democratic Party,6241,15.57
1963,Ontario,EGLINTON--LAWRENCE,Libertarian Party of Canada,538,1.34
1963,Ontario,EGLINTON--LAWRENCE,Communist Party of Canada,208,0.52
1963,Ontario,EGLINTON--LAWRENCE,No affiliation to a recognised party,123,0.31
1963,Ontario,EGLINTON--LAWRENCE,Party for the Commonwealth of Canada,122,0.3
1963,Ontario,ELGIN,Progressive Conservative,15694,38.63
1963,Ontario,ELGIN,Liberal,13953,34.35
1963,Ontario,ELGIN,New Democratic Party,8447,20.79
1963,Ontario,ELGIN,Christian Heritage Party of Canada,2529,6.23
1963,Ontario,ERIE,Progressive Conservative,15063,38.51
1963,Ontario,ERIE,Liberal,14278,36.5
1963,Ontario,ERIE,New Democratic Party,8168,20.88
1963,Ontario,ERIE,Christian Heritage Party of Canada,1607,4.11
1963,Ontario,ESSEX--KENT,Liberal,18634,49.36
1963,Ontario,ESSEX--KENT,Progressive Conservative,12181,32.27
1963,Ontario,ESSEX--KENT,New Democratic Party,6935,18.37
1963,Ontario,ESSEX--WINDSOR,New Democratic Party,18926,44.12
1963,Ontario,ESSEX--WINDSOR,Liberal,17715,41.3
1963,Ontario,ESSEX--WINDSOR,Progressive Conservative,6154,14.35
1963,Ontario,ESSEX--WINDSOR,No affiliation to a recognised party,98,0.23
1963,Ontario,ETOBICOKE CENTRE,Progressive Conservative,24338,48.42
1963,Ontario,ETOBICOKE CENTRE,Liberal,20342,40.47
1963,Ontario,ETOBICOKE CENTRE,New Democratic Party,4815,9.58
1963,Ontario,ETOBICOKE CENTRE,Libertarian Party of Canada,373,0.74
1963,Ontario,ETOBICOKE CENTRE,Green Party of Canada,187,0.37
1963,Ontario,ETOBICOKE CENTRE,Communist Party of Canada,81,0.16
1963,Ontario,ETOBICOKE CENTRE,Party for the Commonwealth of Canada,70,0.14
1963,Ontario,ETOBICOKE CENTRE,No affiliation to a recognised party,62,0.12
1963,Ontario,ETOBICOKE NORTH,Liberal,22618,45.34
1963,Ontario,ETOBICOKE NORTH,Progressive Conservative,17261,34.6
1963,Ontario,ETOBICOKE NORTH,New Democratic Party,8645,17.33
1963,Ontario,ETOBICOKE NORTH,Christian Heritage Party of Canada,849,1.7
1963,Ontario,ETOBICOKE NORTH,Libertarian Party of Canada,452,0.91
1963,Ontario,ETOBICOKE NORTH,No affiliation to a recognised party,64,0.13
1963,Ontario,ETOBICOKE--LAKESHORE,Progressive Conservative,20405,46.04
1963,Ontario,ETOBICOKE--LAKESHORE,New Democratic Party,19609,44.24
1963,Ontario,ETOBICOKE--LAKESHORE,Libertarian Party of Canada,3097,6.99
1963,Ontario,ETOBICOKE--LAKESHORE,Green Party of Canada,679,1.53
1963,Ontario,ETOBICOKE--LAKESHORE,No affiliation to a recognised party,393,0.89
1963,Ontario,ETOBICOKE--LAKESHORE,Communist Party of Canada,141,0.32
1963,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Liberal,35280,70.75
1963,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Progressive Conservative,9517,19.08
1963,Ontario,GLENGARRY--PRESCOTT--RUSSELL,New Democratic Party,4537,9.1
1963,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Libertarian Party of Canada,335,0.67
1963,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Party for the Commonwealth of Canada,199,0.4
1963,Ontario,GUELPH--WELLINGTON,Progressive Conservative,25721,43.21
1963,Ontario,GUELPH--WELLINGTON,Liberal,19002,31.92
1963,Ontario,GUELPH--WELLINGTON,New Democratic Party,11623,19.53
1963,Ontario,GUELPH--WELLINGTON,Christian Heritage Party of Canada,1978,3.32
1963,Ontario,GUELPH--WELLINGTON,Green Party of Canada,581,0.98
1963,Ontario,GUELPH--WELLINGTON,Libertarian Party of Canada,298,0.5
1963,Ontario,GUELPH--WELLINGTON,Parti Rhinocéros,240,0.4
1963,Ontario,GUELPH--WELLINGTON,No affiliation to a recognised party,80,0.13
1963,Ontario,HALDIMAND--NORFOLK,Liberal,16921,38.02
1963,Ontario,HALDIMAND--NORFOLK,Progressive Conservative,16712,37.56
1963,Ontario,HALDIMAND--NORFOLK,New Democratic Party,6736,15.14
1963,Ontario,HALDIMAND--NORFOLK,Christian Heritage Party of Canada,3969,8.92
1963,Ontario,HALDIMAND--NORFOLK,Libertarian Party of Canada,162,0.36
1963,Ontario,HALTON--PEEL,Progressive Conservative,28521,54.61
1963,Ontario,HALTON--PEEL,Liberal,16486,31.57
1963,Ontario,HALTON--PEEL,New Democratic Party,6767,12.96
1963,Ontario,HALTON--PEEL,Libertarian Party of Canada,449,0.86
1963,Ontario,HAMILTON EAST,Liberal,18632,49.8
1963,Ontario,HAMILTON EAST,New Democratic Party,10492,28.04
1963,Ontario,HAMILTON EAST,Progressive Conservative,8015,21.42
1963,Ontario,HAMILTON EAST,No affiliation to a recognised party,141,0.38
1963,Ontario,HAMILTON EAST,Communist Party of Canada,133,0.36
1963,Ontario,HAMILTON MOUNTAIN,Liberal,16934,32.91
1963,Ontario,HAMILTON MOUNTAIN,New Democratic Party,16861,32.76
1963,Ontario,HAMILTON MOUNTAIN,Progressive Conservative,15712,30.53
1963,Ontario,HAMILTON MOUNTAIN,Christian Heritage Party of Canada,1799,3.5
1963,Ontario,HAMILTON MOUNTAIN,Party for the Commonwealth of Canada,87,0.17
1963,Ontario,HAMILTON MOUNTAIN,No affiliation to a recognised party,70,0.14
1963,Ontario,HAMILTON WEST,Liberal,16598,37.84
1963,Ontario,HAMILTON WEST,Progressive Conservative,14851,33.86
1963,Ontario,HAMILTON WEST,New Democratic Party,11194,25.52
1963,Ontario,HAMILTON WEST,Christian Heritage Party of Canada,935,2.13
1963,Ontario,HAMILTON WEST,Independent,179,0.41
1963,Ontario,HAMILTON WEST,Communist Party of Canada,103,0.23
1963,Ontario,HAMILTON--WENTWORTH,Progressive Conservative,23876,41.88
1963,Ontario,HAMILTON--WENTWORTH,Liberal,19373,33.98
1963,Ontario,HAMILTON--WENTWORTH,New Democratic Party,8989,15.77
1963,Ontario,HAMILTON--WENTWORTH,Christian Heritage Party of Canada,4113,7.21
1963,Ontario,HAMILTON--WENTWORTH,Parti Rhinocéros,662,1.16
1963,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,Progressive Conservative,17247,39.96
1963,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,Liberal,16379,37.95
1963,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,New Democratic Party,7455,17.27
1963,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,Christian Heritage Party of Canada,1598,3.7
1963,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,Independent,478,1.11
1963,Ontario,HURON--BRUCE,Progressive Conservative,20042,42.6
1963,Ontario,HURON--BRUCE,Liberal,16629,35.34
1963,Ontario,HURON--BRUCE,New Democratic Party,7746,16.46
1963,Ontario,HURON--BRUCE,Christian Heritage Party of Canada,2633,5.6
1963,Ontario,KENORA--RAINY RIVER,Liberal,13313,38.28
1963,Ontario,KENORA--RAINY RIVER,New Democratic Party,12102,34.79
1963,Ontario,KENORA--RAINY RIVER,Progressive Conservative,7496,21.55
1963,Ontario,KENORA--RAINY RIVER,Christian Heritage Party of Canada,1477,4.25
1963,Ontario,KENORA--RAINY RIVER,Parti Rhinocéros,394,1.13
1963,Ontario,Kent,Liberal,15835,40.03
1963,Ontario,Kent,Progressive Conservative,13835,34.97
1963,Ontario,Kent,New Democratic Party,7948,20.09
1963,Ontario,Kent,Christian Heritage Party of Canada,1942,4.91
1963,Ontario,KINGSTON AND THE ISLANDS,Liberal,23121,40.62
1963,Ontario,KINGSTON AND THE ISLANDS,Progressive Conservative,20409,35.86
1963,Ontario,KINGSTON AND THE ISLANDS,New Democratic Party,11442,20.1
1963,Ontario,KINGSTON AND THE ISLANDS,Christian Heritage Party of Canada,1646,2.89
1963,Ontario,KINGSTON AND THE ISLANDS,Libertarian Party of Canada,301,0.53
